Chr	Start	End	Symbol	FBgn	Strand
2R	11917875	11919096	lncRNA:CR44305	FBgn0265364	+
2R	11929244	11929796	lncRNA:CR44312	FBgn0265371	-
2R	11939557	11967435	exp	FBgn0033668	+
2R	11967343	11970115	PI31	FBgn0033669	-
2R	11970686	11977721	ADD1	FBgn0026573	+
2R	11977536	11979018	CG30036	FBgn0050036	-
2R	11979094	11980538	CG30037	FBgn0050037	-
2R	11980577	11982956	GalT1	FBgn0053145	-
2R	11983145	11985393	RnrS	FBgn0011704	-
2R	11986008	11987653	CG34231	FBgn0085260	+
2R	11986513	11988787	rho-7	FBgn0033672	-
2R	11989131	11992350	CG8298	FBgn0033673	+
2R	11992565	11996095	lncRNA:CR45319	FBgn0266858	-
2R	11994995	11996194	lncRNA:CR45318	FBgn0266857	+
2R	12001473	12019846	otk	FBgn0004839	-
2R	12015095	12015895	lncRNA:CR44306	FBgn0265365	+
2R	12023146	12025272	otk2	FBgn0267728	-
2R	12025614	12027707	Mppe	FBgn0259985	-
2R	12027985	12033725	pds5	FBgn0260012	+
2R	12033946	12036260	CG8321	FBgn0033677	+
2R	12035921	12037165	CG43191	FBgn0262820	-
2R	12037298	12038851	128up	FBgn0010339	+
2R	12039041	12042623	RpIII128	FBgn0004463	+
2R	12044612	12050172	Drep1	FBgn0024732	+
2R	12050977	12051755	CG30039	FBgn0050039	-
2R	12052944	12056547	CG44314	FBgn0265373	+
2R	12055089	12062866	Drep3	FBgn0028407	+
2R	12064565	12079543	CG8888	FBgn0033679	-
2R	12081276	12082057	CG13186	FBgn0033680	+
2R	12085194	12119340	jeb	FBgn0086677	-
2R	12138695	12139324	CG18343	FBgn0033683	+
2R	12139295	12140229	SkpB	FBgn0026176	-
2R	12140631	12143272	Smyd4-4	FBgn0027495	+
2R	12143191	12144533	OSCP1	FBgn0033685	-
2R	12145710	12152752	Hen1	FBgn0033686	+
2R	12146024	12151057	CG8878	FBgn0027504	-
2R	12153071	12154263	CG8407	FBgn0033687	+
2R	12154258	12162998	Prp8	FBgn0033688	-
2R	12158872	12158970	mir-988	FBgn0262300	-
2R	12161126	12161303	scaRNA:PsiU2-55	FBgn0263485	-
2R	12163675	12164896	CG13177	FBgn0040759	+
2R	12164909	12165812	CG34232	FBgn0085261	-
2R	12166295	12174264	Oda	FBgn0014184	-
2R	12168731	12170003	SmD3	FBgn0023167	+
2R	12169558	12171706	lncRNA:CR46194	FBgn0267913	-
2R	12170153	12170244	mir-281-2	FBgn0286007	-
2R	12170373	12170462	mir-281-1	FBgn0286006	-
2R	12174802	12177516	CCT5	FBgn0010621	+
2R	12177430	12178553	EndoG	FBgn0033690	-
2R	12179014	12179745	asRNA:CR45264	FBgn0266802	+
2R	12179483	12179902	CG8860	FBgn0033691	-
2R	12180493	12182373	wash	FBgn0033692	+
2R	12182639	12185506	CG13175	FBgn0033693	+
2R	12182639	12185506	CG33964	FBgn0053964	+
2R	12183844	12184310	SmF	FBgn0000426	-
2R	12185667	12188431	Cyp6g1	FBgn0025454	+
2R	12188338	12190377	Cyp6g2	FBgn0033696	-
2R	12190682	12192436	Cyp6t3	FBgn0033697	+
2R	12192374	12198854	CG8858	FBgn0033698	-
2R	12199024	12200815	RpS11	FBgn0033699	-
2R	12199183	12199273	snoRNA:Me28S-C3420b	FBgn0083989	-
2R	12199662	12199752	snoRNA:Me28S-C3420a	FBgn0083988	-
2R	12206106	12207911	lncRNA:CR45276	FBgn0266814	+
2R	12208893	12212155	Sr-CII	FBgn0020377	-
2R	12214010	12214395	CG13171	FBgn0033701	+
2R	12224461	12229310	CG8854	FBgn0033702	-
2R	12233995	12234595	lncRNA:CR44313	FBgn0265372	-
2R	12240399	12240813	CG13170	FBgn0033703	+
2R	12241218	12241872	CG43315	FBgn0263020	+
2R	12242546	12243273	CG43316	FBgn0263021	+
2R	12243999	12244701	CG43244	FBgn0262889	-
2R	12246695	12246995	lncRNA:CR44315	FBgn0265374	-
2R	12253992	12255701	CG13168	FBgn0033705	+
2R	12257282	12258652	Vha36-2	FBgn0033706	+
2R	12259398	12278809	Cam	FBgn0000253	+
2R	12259409	12260813	lncRNA:CR43900	FBgn0264501	+
2R	12279771	12300795	CG42700	FBgn0261611	+
2R	12296495	12297805	asRNA:CR45271	FBgn0266809	-
2R	12298747	12302240	CG8850	FBgn0033708	-
2R	12302544	12306269	salto	FBgn0061197	-
2R	12306528	12310412	CG17739	FBgn0033710	+
2R	12310689	12313834	CG30203	FBgn0050203	+
2R	12314117	12317573	CG30046	FBgn0050046	+
2R	12320594	12320912	lncRNA:CR44316	FBgn0265375	-
2R	12321238	12322797	mIF3	FBgn0033712	+
2R	12322507	12326258	CG8841	FBgn0033713	-
2R	12326360	12333860	garz	FBgn0264560	+
2R	12333926	12333997	tRNA:His-GTG-1-1	FBgn0050249	-
2R	12334234	12334305	tRNA:His-GTG-1-2	FBgn0050250	-
2R	12334995	12335066	tRNA:His-GTG-1-3	FBgn0050251	-
2R	12335316	12336205	CG8490	FBgn0033715	+
2R	12336418	12336489	tRNA:His-GTG-1-4	FBgn0011878	+
2R	12336733	12336804	tRNA:His-GTG-2-1Psi	FBgn0011877	+
2R	12336890	12337718	CG34021	FBgn0054021	+
2R	12337797	12339544	Den1	FBgn0033716	+
2R	12339610	12344617	CG8839	FBgn0033717	-
2R	12344983	12351325	ana3	FBgn0266111	+
2R	12351793	12355413	CG30047	FBgn0050047	+
2R	12355671	12359087	CG30049	FBgn0050049	+
2R	12359436	12363165	CG30043	FBgn0050043	+
2R	12363320	12366579	CR33013	FBgn0053013	+
2R	12367353	12370886	CG33012	FBgn0053012	+
2R	12371594	12375081	CG13160	FBgn0033720	+
2R	12375286	12375678	CG13159	FBgn0033721	+
2R	12376626	12377378	Cpr49Aa	FBgn0050045	+
2R	12378440	12379396	Cpr49Ab	FBgn0050042	+
2R	12379614	12380426	CG13155	FBgn0033723	-
2R	12383045	12384520	CG8501	FBgn0033724	+
2R	12386666	12390057	Cpr49Ac	FBgn0033725	+
2R	12390896	12391699	Cpr49Ad	FBgn0033726	-
2R	12393483	12394842	Or49a	FBgn0033727	+
2R	12394907	12399142	CG30048	FBgn0050048	+
2R	12402216	12405108	Cpr49Ae	FBgn0033728	+
2R	12405932	12407045	Cpr49Af	FBgn0033729	+
2R	12407793	12408523	Cpr49Ag	FBgn0033730	+
2R	12408954	12409735	CG30050	FBgn0050050	+
2R	12410079	12410696	CG33626	FBgn0053626	+
2R	12411011	12411678	CG33627	FBgn0053627	+
2R	12413962	12415170	Cpr49Ah	FBgn0033731	+
2R	12416044	12418231	CG13157	FBgn0033732	+
2R	12418797	12419395	CG42782	FBgn0261853	-
2R	12419702	12420291	CR46027	FBgn0267691	-
2R	12420475	12422535	CG8834	FBgn0033733	-
2R	12422931	12425459	CG8520	FBgn0033734	+
2R	12425483	12426975	Dera	FBgn0033735	+
2R	12426883	12427861	CG13154	FBgn0033736	-
2R	12428449	12431099	Nup54	FBgn0033737	-
2R	12430595	12431296	CG43204	FBgn0262840	+
2R	12431447	12436577	DUBAI	FBgn0033738	-
2R	12436120	12436990	Tmem18	FBgn0050051	+
2R	12437345	12452916	Dyb	FBgn0033739	+
2R	12440633	12441320	CG30334	FBgn0050334	-
2R	12453190	12465630	Lac	FBgn0010238	+
2R	12465678	12471775	dgt5	FBgn0033740	-
2R	12468651	12471722	CG8545	FBgn0033741	+
2R	12471915	12474021	Nepl10	FBgn0033742	+
2R	12474424	12487986	Dh44-R2	FBgn0033744	+
2R	12486719	12487391	CG34234	FBgn0085263	-
2R	12487451	12507333	fdl	FBgn0045063	-
2R	12495672	12501459	s-cup	FBgn0050044	+
2R	12507896	12510615	vis	FBgn0033748	-
2R	12511534	12515062	achi	FBgn0033749	-
2R	12515375	12517284	CG13151	FBgn0033750	+
2R	12517264	12518912	CG8818	FBgn0033751	-
2R	12519166	12521624	CG8569	FBgn0033752	+
2R	12522023	12522731	CG33632	FBgn0053632	+
2R	12529053	12564184	fra	FBgn0011592	+
2R	12545689	12546301	CG33752	FBgn0053752	+
2R	12562060	12562655	CG30056	FBgn0050056	+
2R	12564224	12564901	CG33775	FBgn0053775	-
2R	12566185	12569061	Cyp301a1	FBgn0033753	+
2R	12569014	12569847	Ak6	FBgn0033754	-
2R	12570367	12571883	stil	FBgn0003527	+
2R	12572068	12575299	ClC-b	FBgn0033755	+
2R	12575240	12592917	Sin3A	FBgn0022764	-
2R	12589239	12591395	lncRNA:CR30055	FBgn0050055	+
2R	12593195	12593827	lncRNA:CR45279	FBgn0266817	-
2R	12593604	12612068	Amph	FBgn0027356	+
2R	12594392	12595649	lncRNA:CR43909	FBgn0264510	-
2R	12612740	12619820	CG45086	FBgn0266487	+
2R	12612740	12623197	Galphaq	FBgn0004435	+
2R	12623726	12625352	CG30054	FBgn0050054	+
2R	12625808	12628619	CG17760	FBgn0033756	+
2R	12628697	12632378	muskelin	FBgn0033757	-
2R	12632674	12633454	CG33792	FBgn0053792	+
2R	12633589	12634172	spt4	FBgn0028683	+
2R	12634166	12636141	CG33671	FBgn0061359	-
2R	12634166	12636141	CG33672	FBgn0061360	-
2R	12636671	12640628	Iswi	FBgn0011604	+
2R	12640690	12648224	CG8785	FBgn0033760	-
2R	12651301	12652487	CG8778	FBgn0033761	-
2R	12652805	12655743	ZnT49B	FBgn0033762	+
2R	12655954	12659341	CG8646	FBgn0033763	+
2R	12659497	12670219	nemy	FBgn0261673	-
2R	12670483	12679593	GLS	FBgn0261625	-
2R	12679967	12686179	Nup188	FBgn0033766	-
2R	12686249	12688786	CG13148	FBgn0033767	+
2R	12688733	12689876	CG30053	FBgn0050053	-
2R	12690059	12690955	Obp49a	FBgn0050052	-
2R	12691308	12692690	CG8768	FBgn0033769	-
2R	12700081	12700851	wuc	FBgn0033770	+
2R	12705172	12751545	CG42663	FBgn0261545	+
2R	12751483	12752936	Mos	FBgn0033773	-
2R	12753026	12756414	Taz	FBgn0026619	-
2R	12756434	12757173	mRpL18	FBgn0026741	+
2R	12757133	12757529	ox	FBgn0011227	-
2R	12757546	12759724	Dgkepsilon	FBgn0020930	+
2R	12759693	12760999	Nacalpha	FBgn0086904	-
2R	12762113	12763825	CG12374	FBgn0033774	+
2R	12777324	12778995	lncRNA:CR45266	FBgn0266804	+
2R	12780541	12802010	sca	FBgn0003326	+
2R	12783611	12799259	asRNA:CR45137	FBgn0266630	-
2R	12806614	12807811	CG17580	FBgn0040755	+
2R	12839233	12839850	lncRNA:CR44453	FBgn0265646	-
2R	12840813	12842558	Cyp9h1	FBgn0033775	-
2R	12842665	12844704	Or49b	FBgn0028963	+
2R	12845544	12846596	CG17575	FBgn0250842	-
2R	12846848	12848004	antr	FBgn0050488	-
2R	12848034	12848993	CG30486	FBgn0050486	-
2R	12848139	12849295	asRNA:CR45468	FBgn0267024	+
2R	12849358	12869423	CG17574	FBgn0033777	-
2R	12867609	12869783	asRNA:CR45140	FBgn0266633	+
2R	12870249	12871794	bic	FBgn0000181	+
2R	12872756	12875087	asRNA:CR43469	FBgn0263446	+
2R	12872787	12875012	Balat	FBgn0033778	-
2R	12875164	12876966	Lfg	FBgn0025692	-
2R	12875164	12877280	asRNA:CR43468	FBgn0263445	+
2R	12877004	12883168	AspRS	FBgn0002069	+
2R	12877094	12880230	Nmda1	FBgn0013305	-
2R	12881445	12883253	asRNA:CR45141	FBgn0266634	-
2R	12884632	12899385	vg	FBgn0003975	+
2R	12900881	12901613	lncRNA:CR46237	FBgn0267957	+
2R	12903794	12906236	lncRNA:CR46336	FBgn0285940	+
2R	12904545	12906237	lncRNA:CR46337	FBgn0285941	-
2R	12906395	12907295	lncRNA:CR44461	FBgn0265654	+
2R	12915994	12923734	NAT1	FBgn0010488	+
2R	12923904	12924664	CG13319	FBgn0033781	+
2R	12924567	12930644	sug	FBgn0033782	+
2R	12930912	12934045	CG17019	FBgn0033783	-
2R	12934234	12936535	SCCRO3	FBgn0033784	-
2R	12936891	12940412	Sans	FBgn0033785	+
2R	12937616	12938343	CG30487	FBgn0050487	-
2R	12940323	12946347	Mdr49	FBgn0004512	-
2R	12948348	12952293	CG44251	FBgn0265186	-
2R	12950404	12952293	CG44250	FBgn0265185	-
2R	12953112	12955712	CG13321	FBgn0033787	+
2R	12965997	12980994	Psc	FBgn0005624	-
2R	12985367	12985995	lncRNA:CR44339	FBgn0265427	+
2R	12993897	12994622	CG33798	FBgn0053798	+
2R	12996501	13007911	Su(z)2	FBgn0265623	+
2R	13044695	13047256	CG13323	FBgn0033788	-
2R	13049146	13049656	CG13324	FBgn0033789	-
2R	13055246	13079539	Drl-2	FBgn0033791	-
2R	13103895	13104895	CG44341	FBgn0265429	+
2R	13110769	13126014	CG13325	FBgn0033792	+
2R	13127915	13129052	CG3955	FBgn0033793	-
2R	13129511	13132455	CG13326	FBgn0033794	-
2R	13133142	13142820	Cap-G	FBgn0259876	+
2R	13142834	13152677	Ack-like	FBgn0263998	-
2R	13152885	13159141	TppII	FBgn0020370	-
2R	13158666	13160190	ND-MWFE	FBgn0085468	+
2R	13160063	13163484	Nrk	FBgn0020391	+
2R	13163363	13163948	CG15870	FBgn0033798	-
2R	13163959	13168032	GLaz	FBgn0033799	-
2R	13168498	13170744	Spt-I	FBgn0086532	+
2R	13168500	13170745	asRNA:CR45142	FBgn0266635	-
2R	13171401	13174796	AGBE	FBgn0053138	+
2R	13175395	13176075	CG33137	FBgn0053137	+
2R	13176094	13190086	CG17724	FBgn0033802	-
2R	13176553	13190086	seq	FBgn0028991	-
2R	13176553	13198337	Kdm4B	FBgn0053182	-
2R	13198850	13202709	ValRS	FBgn0027079	+
2R	13202728	13206547	Orc3	FBgn0005654	-
2R	13202728	13206547	CG34315	FBgn0085344	-
2R	13206745	13210469	FLASH	FBgn0033806	+
2R	13209809	13212237	CG30058	FBgn0050058	-
2R	13209809	13212237	CG34235	FBgn0085264	-
2R	13209809	13212237	CG34312	FBgn0085341	-
2R	13212405	13214496	AQP	FBgn0033807	-
2R	13214706	13215760	CG4627	FBgn0033808	+
2R	13215659	13219247	CG4630	FBgn0033809	-
2R	13219396	13220251	CG4646	FBgn0033810	-
2R	13220283	13221015	CG17059	FBgn0040754	+
2R	13220939	13222459	Fsn	FBgn0043010	-
2R	13222433	13228202	Dp	FBgn0011763	+
2R	13224175	13224462	lncRNA:CR43918	FBgn0264539	-
2R	13228276	13230234	Pex13	FBgn0033812	-
2R	13230583	13231663	fsd	FBgn0033813	+
2R	13231758	13235296	Qsox1	FBgn0033814	-
2R	13235980	13237055	CG4676	FBgn0033815	+
2R	13237256	13239468	CG4679	FBgn0033816	-
2R	13239729	13241013	GstE14	FBgn0033817	+
2R	13243996	13245045	lncRNA:CR45278	FBgn0266816	-
2R	13246670	13248880	Mp20	FBgn0002789	+
2R	13248894	13251724	CG4712	FBgn0033818	-
2R	13251852	13254337	CG4714	FBgn0033819	-
2R	13254495	13255496	lncRNA:CR44343	FBgn0265443	-
2R	13256587	13257446	CG4716	FBgn0033820	+
2R	13257886	13258477	CG10799	FBgn0033821	+
2R	13260101	13266336	CG42319	FBgn0259219	+
2R	13267798	13295927	Dh31-R	FBgn0052843	-
2R	13297202	13298467	CG4734	FBgn0033826	-
2R	13298995	13301547	CG17047	FBgn0033827	+
2R	13329352	13344808	lncRNA:CR44206	FBgn0265104	-
2R	13329402	13329501	mir-184	FBgn0262391	-
2R	13353638	13354499	CG17048	FBgn0033828	-
2R	13361825	13362835	lncRNA:CR45312	FBgn0266851	-
2R	13375975	13377731	CG10814	FBgn0033830	-
2R	13389495	13393361	CG43691	FBgn0263774	-
2R	13393705	13394667	AttC	FBgn0041579	+
2R	13394615	13399368	CG4744	FBgn0033834	-
2R	13407011	13408358	IMPPP	FBgn0283462	+
2R	13408042	13409887	CG18278	FBgn0033836	-
2R	13410269	13410591	CR45470	FBgn0267026	-
2R	13411739	13413085	CG33470	FBgn0053470	+
2R	13412769	13414620	CG30059	FBgn0260475	-
2R	13414978	13439051	ATP8A	FBgn0259221	-
2R	13422978	13423647	CG30060	FBgn0265272	-
2R	13430282	13430355	tRNA:Ile-AAT-1-3	FBgn0011881	-
2R	13430695	13430815	tRNA:Leu-CAA-2-1	FBgn0011909	-
2R	13430984	13431057	tRNA:Ile-AAT-1-4	FBgn0011882	+
2R	13431285	13431358	tRNA:Ile-AAT-1-5	FBgn0011883	+
2R	13431777	13431850	tRNA:Ile-AAT-1-6	FBgn0011884	+
2R	13432093	13432166	tRNA:Ile-AAT-1-7	FBgn0011885	+
2R	13432668	13432794	tRNA:Leu-CAA-1-1	FBgn0011910	+
2R	13433028	13433760	CG30065	FBgn0050065	+
2R	13434207	13435045	Ser8	FBgn0019928	+
2R	13437866	13437939	tRNA:Ile-AAT-1-8	FBgn0050509	+
2R	13439314	13450475	cnn	FBgn0013765	-
2R	13445700	13446309	CG30062	FBgn0050062	-
2R	13450586	13453393	cbs	FBgn0086757	+
2R	13453640	13483229	arr	FBgn0000119	-
2R	13477342	13478079	CG43192	FBgn0262821	+
2R	13483512	13485391	cbc	FBgn0033842	-
2R	13485617	13486631	cid	FBgn0040477	+
2R	13486634	13494862	bbc	FBgn0033844	-
2R	13495222	13502841	drk	FBgn0004638	-
2R	13500621	13506011	mars	FBgn0033845	+
2R	13506430	13513112	mip120	FBgn0033846	+
2R	13507557	13509332	mEFTu1	FBgn0024556	+
2R	13513132	13534251	Vmat	FBgn0260964	-
2R	13515259	13517452	CG13330	FBgn0033848	+
2R	13521769	13523375	CG13331	FBgn0033850	+
2R	13525377	13526448	CG13332	FBgn0033851	+
2R	13536045	13536117	tRNA:Lys-CTT-1-10	FBgn0011896	-
2R	13537371	13547577	CG6145	FBgn0033853	-
2R	13548244	13553240	CG33156	FBgn0053156	-
2R	13554077	13555606	Roe1	FBgn0014877	+
2R	13555949	13557342	link	FBgn0033855	+
2R	13557539	13557686	snoRNA:Psi28S-1153	FBgn0083006	-
2R	13557700	13557850	snoRNA:2R:9445205	FBgn0263472	-
2R	13557905	13558055	snoRNA:2R:9445410	FBgn0263459	-
2R	13558545	13560768	CG13334	FBgn0033856	+
2R	13570595	13572759	CG42807	FBgn0261989	-
2R	13573618	13574257	CG42808	FBgn0261990	-
2R	13574913	13577545	lncRNA:CR44365	FBgn0265496	+
2R	13578036	13579626	lncRNA:CR44366	FBgn0265497	+
2R	13580313	13593339	CG6191	FBgn0027581	-
2R	13580586	13593339	CG45088	FBgn0266489	-
2R	13593644	13596557	fand	FBgn0033859	+
2R	13596677	13598750	S-Lap5	FBgn0033860	+
2R	13600645	13601099	CG43058	FBgn0262360	-
2R	13604495	13605655	CG34236	FBgn0085265	-
2R	13608673	13609178	CG12464	FBgn0033861	-
2R	13623044	13749367	CG17716	FBgn0000633	+
2R	13661495	13663598	CG6209	FBgn0033862	-
2R	13665114	13667756	CG13337	FBgn0033863	+
2R	13667736	13671594	CG18368	FBgn0033864	+
2R	13671649	13671964	lncRNA:CR45031	FBgn0266391	-
2R	13673970	13674633	lncRNA:CR45032	FBgn0266392	-
2R	13691707	13693369	CG6220	FBgn0033865	-
2R	13753964	13758971	CG6280	FBgn0033866	+
2R	13769915	13787802	Cpr50Ca	FBgn0033867	+
2R	13778124	13780245	S-Lap7	FBgn0033868	-
2R	13783995	13784496	lncRNA:CR43810	FBgn0264358	+
2R	13791946	13792587	lncRNA:CR43811	FBgn0264359	+
2R	13794777	13805231	Cpr50Cb	FBgn0033869	+
2R	13805794	13819571	stj	FBgn0261041	+
2R	13819624	13824553	fl(2)d	FBgn0000662	-
2R	13824858	13825572	CG13339	FBgn0033871	+
2R	13826371	13833503	CG6329	FBgn0033872	+
2R	13833575	13835096	CG6337	FBgn0033873	-
2R	13836419	13839363	CG6347	FBgn0033874	+
2R	13840053	13841743	CG6357	FBgn0033875	+
2R	13841761	13846255	Syngr	FBgn0033876	-
2R	13846393	13849832	CG30484	FBgn0050484	+
2R	13849882	13852983	CG30485	FBgn0050485	+
2R	13852845	13852901	mir-9379	FBgn0283553	-
2R	13852947	13854331	Echs1	FBgn0033879	-
2R	13854578	13855778	CG6553	FBgn0033880	-
2R	13854659	13855894	asRNA:CR44367	FBgn0265498	+
2R	13856150	13858689	tum	FBgn0086356	-
2R	13858952	13860432	Uba3	FBgn0263697	+
2R	13860349	13862002	CG16935	FBgn0033883	-
2R	13861997	13864156	CG13344	FBgn0033884	+
2R	13864237	13942110	shot	FBgn0013733	-
2R	13942534	13943377	DJ-1alpha	FBgn0033885	-
2R	13943387	13958089	AGO1	FBgn0262739	-
2R	13954195	13955664	CG33155	FBgn0053155	+
2R	13954195	13955664	mRpL53	FBgn0050481	+
2R	13958545	13960404	Rpn13	FBgn0033886	-
2R	13960675	13967981	Cp1	FBgn0013770	+
2R	13964653	13965455	CG42806	FBgn0261975	+
2R	13968308	13969902	PheRS-m	FBgn0275436	+
2R	13969910	13971263	St4	FBgn0033887	-
2R	13971325	13972834	CG18568	FBgn0033888	-
2R	13972984	13980165	CG6701	FBgn0033889	-
2R	13980362	13983317	Ctf4	FBgn0033890	-
2R	13983395	13984893	CG8067	FBgn0033891	+
2R	13984815	13990707	RN-tre	FBgn0020620	-
2R	13991203	14060356	mam	FBgn0002643	+
2R	14005860	14006006	mir-4978	FBgn0263539	-
2R	14028620	14029096	CG18371	FBgn0033893	+
2R	14060456	14140902	Prosap	FBgn0040752	-
2R	14090325	14090972	CG42287	FBgn0259183	+
2R	14091031	14091814	CG42288	FBgn0259184	+
2R	14145351	14145524	mir-989	FBgn0262215	-
2R	14148263	14153123	Rcd1	FBgn0033897	-
2R	14153153	14157106	pea	FBgn0086895	+
2R	14157050	14157488	CG13018	FBgn0040751	-
2R	14157762	14159434	CG13016	FBgn0033899	+
2R	14159096	14161262	CysRS-m	FBgn0033900	-
2R	14161430	14163054	O-fut1	FBgn0033901	+
2R	14163066	14164825	eIF3m	FBgn0033902	-
2R	14165051	14166991	CG8323	FBgn0033903	+
2R	14166982	14168233	CG18327	FBgn0033904	+
2R	14168786	14170233	CG18324	FBgn0033905	+
2R	14168844	14170917	asRNA:CR44368	FBgn0265499	-
2R	14170462	14172998	ReepB	FBgn0033906	+
2R	14172986	14173596	mRpS16	FBgn0033907	-
2R	14173693	14182838	cg	FBgn0000289	+
2R	14185204	14198368	CG30069	FBgn0050069	+
2R	14198478	14201249	VGAT	FBgn0033911	-
2R	14201390	14212413	Sox15	FBgn0005613	-
2R	14215096	14216627	RpS23	FBgn0033912	-
2R	14215802	14215864	mir-308	FBgn0262407	-
2R	14219898	14230620	CG8468	FBgn0033913	+
2R	14230611	14235449	Opa1	FBgn0261276	-
2R	14233130	14233187	mir-1016	FBgn0262427	-
2R	14235787	14239703	CG8485	FBgn0033915	-
2R	14239932	14243655	Usp20-33	FBgn0033916	+
2R	14243778	14246066	SmydA-1	FBgn0033917	+
2R	14246966	14252597	Mdr50	FBgn0010241	+
2R	14252598	14256192	Hsc70-5	FBgn0001220	-
2R	14256493	14258787	CG8531	FBgn0033918	+
2R	14259030	14261150	beta4GalNAcTA	FBgn0027538	+
2R	14261206	14267919	CG8547	FBgn0033919	-
2R	14268772	14270658	Sps1	FBgn0261270	-
2R	14270729	14275495	conv	FBgn0261269	+
2R	14276130	14300095	Ih	FBgn0263397	+
2R	14300103	14302353	tej	FBgn0033921	-
2R	14308142	14351802	Shrm	FBgn0085408	+
2R	14352231	14355674	CG8613	FBgn0033924	+
2R	14355769	14357281	CG8617	FBgn0033925	-
2R	14357927	14360297	Arc1	FBgn0033926	-
2R	14360433	14361780	CR10102	FBgn0033927	-
2R	14361924	14362825	Arc2	FBgn0033928	+
2R	14363048	14365473	Tfb1	FBgn0033929	+
2R	14365656	14366658	CG34184	FBgn0085213	+
2R	14366798	14367874	CG34442	FBgn0085471	+
2R	14367979	14369067	CG34443	FBgn0085472	+
2R	14369217	14370326	CG34444	FBgn0085473	+
2R	14370331	14371116	Obp50a	FBgn0050067	-
2R	14371186	14373006	Obp50b	FBgn0050073	+
2R	14371186	14373006	Obp50c	FBgn0050072	+
2R	14373108	14373808	Obp50d	FBgn0050074	+
2R	14373829	14374395	CG34185	FBgn0085214	-
2R	14374462	14375385	Obp50e	FBgn0033931	-
2R	14375921	14376677	CG30075	FBgn0050075	+
2R	14378097	14385359	Dh44-R1	FBgn0033932	+
2R	14390696	14392209	CG10104	FBgn0033933	+
2R	14408453	14408960	lncRNA:CR44369	FBgn0265500	+
2R	14409295	14411572	CG17385	FBgn0033934	-
2R	14411825	14413851	Sin1	FBgn0033935	+
2R	14420324	14424764	Achl	FBgn0033936	+
2R	14427336	14432337	phyl	FBgn0013725	-
2R	14433430	14433895	lncRNA:CR45277	FBgn0266815	-
2R	14435899	14465881	Oaz	FBgn0284250	+
2R	14476391	14477895	lncRNA:CR44462	FBgn0265655	+
2R	14481187	14497312	PRAS40	FBgn0267824	+
2R	14497347	14503488	Cpsf160	FBgn0024698	-
2R	14503958	14512493	Asx	FBgn0261823	+
2R	14512559	14515211	Cpr51A	FBgn0033942	-
2R	14514030	14514992	CG30197	FBgn0050197	+
2R	14526267	14587917	ttv	FBgn0265974	+
2R	14544150	14546372	CG30076	FBgn0050076	-
2R	14553765	14554309	CG43919	FBgn0264540	-
2R	14570810	14575771	LamC	FBgn0010397	-
2R	14591203	14595617	CG12869	FBgn0033943	+
2R	14595611	14601216	RpI1	FBgn0019938	-
2R	14601278	14602010	Blos1	FBgn0050077	+
2R	14602004	14604337	tra2	FBgn0003742	-
2R	14602986	14603124	scaRNA:PsiU5-44	FBgn0263487	-
2R	14604549	14605297	CG12868	FBgn0033945	-
2R	14605652	14606302	CG33469	FBgn0053469	-
2R	14606307	14606980	CG33468	FBgn0053468	-
2R	14607154	14618118	Su(var)2-HP2	FBgn0026427	-
2R	14618771	14619681	Sec61beta	FBgn0010638	+
2R	14619798	14621320	CG12863	FBgn0033948	-
2R	14621601	14624498	Uhg5	FBgn0083123	+
2R	14621782	14621881	snoRNA:Me18S-C1366	FBgn0082951	+
2R	14622088	14622167	snoRNA:Me28S-C3227a	FBgn0082940	+
2R	14622330	14622409	snoRNA:Me28S-C3227b	FBgn0082939	+
2R	14622570	14622649	snoRNA:Me28S-U1848	FBgn0082926	+
2R	14622802	14622877	snoRNA:Me18S-G1952	FBgn0082950	+
2R	14623042	14623117	snoRNA:Me18S-A1061	FBgn0082952	+
2R	14623276	14623346	snoRNA:Me28S-A992	FBgn0082941	+
2R	14623517	14623607	snoRNA:Me28S-G2703a	FBgn0082931	+
2R	14623764	14623850	snoRNA:Me28S-G2703b	FBgn0082930	+
2R	14624007	14624091	snoRNA:Me28S-G2703c	FBgn0082929	+
2R	14624253	14624330	snoRNA:Or-CD4	FBgn0082919	+
2R	14629910	14631023	Had2	FBgn0033949	+
2R	14638538	14638935	CG43236	FBgn0262881	+
2R	14639361	14639762	lncRNA:CR42715	FBgn0261632	+
2R	14640214	14640626	CG12862	FBgn0033950	-
2R	14645270	14646344	CG10139	FBgn0033951	+
2R	14656798	14658755	Adgf-E	FBgn0033952	-
2R	14664246	14665356	CG12861	FBgn0033953	-
2R	14665641	14666817	CG12860	FBgn0033954	-
2R	14668391	14671675	CG12866	FBgn0033955	+
2R	14671396	14713622	mspo	FBgn0020269	-
2R	14674465	14678136	CG30479	FBgn0050479	-
2R	14674606	14678136	CG30480	FBgn0050480	-
2R	14737578	14739242	CG43428	FBgn0263376	-
2R	14739359	14745335	jef	FBgn0033958	-
2R	14745961	14746714	Dro	FBgn0010388	+
2R	14747362	14748215	AttA	FBgn0012042	+
2R	14749223	14750165	AttB	FBgn0041581	+
2R	14750166	14752910	Rpn6	FBgn0028689	-
2R	14752521	14753269	ave	FBgn0050476	+
2R	14753337	14756288	CG10151	FBgn0033960	-
